ObservationDate,Shorthand,From,To,Price
02/01/2009,Q2_09,01/04/2009,30/06/2009,0.46925
02/01/2009,Q3_09,01/07/2009,30/09/2009,0.452
02/01/2009,Q1_11,01/01/2011,31/03/2011,0.7
02/01/2009,Q2_11,01/04/2011,30/06/2011,0.5715
02/01/2009,Q4_11,01/10/2011,31/12/2011,0.648
02/01/2009,Q2_12,01/04/2012,30/06/2012,0.589
02/01/2009,Q3_12,01/07/2012,30/09/2012,0.566
02/01/2009,Q4_09,01/10/2009,31/12/2009,0.586
02/01/2009,Q1_10,01/01/2010,31/03/2010,0.656
02/01/2009,Q2_10,01/04/2010,30/06/2010,0.534
02/01/2009,Q3_10,01/07/2010,30/09/2010,0.511
02/01/2009,Q4_10,01/10/2010,31/12/2010,0.6265
02/01/2009,Q4_12,01/10/2012,31/12/2012,0.662
02/01/2009,Q1_13,01/01/2013,31/03/2013,0.74
02/01/2009,Q2_13,01/04/2013,30/06/2013,0.601
02/01/2009,Q3_13,01/07/2013,30/09/2013,0.578
02/01/2009,Q4_13,01/10/2013,31/12/2013,0.668
02/01/2009,Q1_14,01/01/2014,31/03/2014,0.746
02/01/2009,Q2_14,01/04/2014,30/06/2014,0.6065
05/01/2009,Q2_09,01/04/2009,30/06/2009,0.478
05/01/2009,Q3_09,01/07/2009,30/09/2009,0.461
05/01/2009,Q4_09,01/10/2009,31/12/2009,0.592
05/01/2009,Q1_10,01/01/2010,31/03/2010,0.662
05/01/2009,Q2_10,01/04/2010,30/06/2010,0.541
05/01/2009,Q3_10,01/07/2010,30/09/2010,0.518
05/01/2009,Q4_10,01/10/2010,31/12/2010,0.631
05/01/2009,Q1_11,01/01/2011,31/03/2011,0.704
05/01/2009,Q2_11,01/04/2011,30/06/2011,0.5715
05/01/2009,Q3_11,01/07/2011,30/09/2011,0.5485
05/01/2009,Q4_11,01/10/2011,31/12/2011,0.65
05/01/2009,Q1_12,01/01/2012,31/03/2012,0.726
05/01/2009,Q2_12,01/04/2012,30/06/2012,0.589
05/01/2009,Q3_12,01/07/2012,30/09/2012,0.566
05/01/2009,Q4_12,01/10/2012,31/12/2012,0.662
05/01/2009,Q1_13,01/01/2013,31/03/2013,0.74
05/01/2009,Q2_13,01/04/2013,30/06/2013,0.601
05/01/2009,Q3_13,01/07/2013,30/09/2013,0.578
05/01/2009,Q4_13,01/10/2013,31/12/2013,0.668
05/01/2009,Q1_14,01/01/2014,31/03/2014,0.746
05/01/2009,Q2_14,01/04/2014,30/06/2014,0.6065
06/01/2009,Q2_09,01/04/2009,30/06/2009,0.50725
06/01/2009,Q3_09,01/07/2009,30/09/2009,0.49
06/01/2009,Q4_09,01/10/2009,31/12/2009,0.6245
06/01/2009,Q1_10,01/01/2010,31/03/2010,0.6945
06/01/2009,Q2_10,01/04/2010,30/06/2010,0.574
06/01/2009,Q3_10,01/07/2010,30/09/2010,0.551
06/01/2009,Q4_10,01/10/2010,31/12/2010,0.656
06/01/2009,Q1_11,01/01/2011,31/03/2011,0.729
06/01/2009,Q2_11,01/04/2011,30/06/2011,0.6
06/01/2009,Q3_11,01/07/2011,30/09/2011,0.577
06/01/2009,Q4_11,01/10/2011,31/12/2011,0.677
06/01/2009,Q1_12,01/01/2012,31/03/2012,0.753
06/01/2009,Q2_12,01/04/2012,30/06/2012,0.6165
06/01/2009,Q3_12,01/07/2012,30/09/2012,0.5935
06/01/2009,Q4_12,01/10/2012,31/12/2012,0.688
06/01/2009,Q1_13,01/01/2013,31/03/2013,0.766
06/01/2009,Q2_13,01/04/2013,30/06/2013,0.628
06/01/2009,Q3_13,01/07/2013,30/09/2013,0.605
06/01/2009,Q4_13,01/10/2013,31/12/2013,0.694
06/01/2009,Q1_14,01/01/2014,31/03/2014,0.772
06/01/2009,Q2_14,01/04/2014,30/06/2014,0.6335
07/01/2009,Q2_09,01/04/2009,30/06/2009,0.496
07/01/2009,Q3_09,01/07/2009,30/09/2009,0.479
07/01/2009,Q4_09,01/10/2009,31/12/2009,0.6055
07/01/2009,Q1_10,01/01/2010,31/03/2010,0.6755
07/01/2009,Q2_10,01/04/2010,30/06/2010,0.5565
07/01/2009,Q3_10,01/07/2010,30/09/2010,0.5335
07/01/2009,Q4_10,01/10/2010,31/12/2010,0.6395
07/01/2009,Q1_11,01/01/2011,31/03/2011,0.7125
07/01/2009,Q2_11,01/04/2011,30/06/2011,0.5865
07/01/2009,Q3_11,01/07/2011,30/09/2011,0.5635
07/01/2009,Q4_11,01/10/2011,31/12/2011,0.667
07/01/2009,Q1_12,01/01/2012,31/03/2012,0.743
07/01/2009,Q2_12,01/04/2012,30/06/2012,0.604
07/01/2009,Q3_12,01/07/2012,30/09/2012,0.581
07/01/2009,Q4_12,01/10/2012,31/12/2012,0.678
07/01/2009,Q1_13,01/01/2013,31/03/2013,0.756
07/01/2009,Q2_13,01/04/2013,30/06/2013,0.616
07/01/2009,Q3_13,01/07/2013,30/09/2013,0.593
07/01/2009,Q4_13,01/10/2013,31/12/2013,0.684
07/01/2009,Q1_14,01/01/2014,31/03/2014,0.762
07/01/2009,Q2_14,01/04/2014,30/06/2014,0.6225
08/01/2009,Q2_09,01/04/2009,30/06/2009,0.4765
08/01/2009,Q3_09,01/07/2009,30/09/2009,0.4605
08/01/2009,Q4_09,01/10/2009,31/12/2009,0.585
08/01/2009,Q1_10,01/01/2010,31/03/2010,0.655
08/01/2009,Q2_10,01/04/2010,30/06/2010,0.5415
08/01/2009,Q3_10,01/07/2010,30/09/2010,0.5185
08/01/2009,Q4_10,01/10/2010,31/12/2010,0.6195
08/01/2009,Q1_11,01/01/2011,31/03/2011,0.6925
08/01/2009,Q2_11,01/04/2011,30/06/2011,0.5715
08/01/2009,Q3_11,01/07/2011,30/09/2011,0.5485
08/01/2009,Q4_11,01/10/2011,31/12/2011,0.649
08/01/2009,Q1_12,01/01/2012,31/03/2012,0.725
08/01/2009,Q2_12,01/04/2012,30/06/2012,0.589
08/01/2009,Q3_12,01/07/2012,30/09/2012,0.566
08/01/2009,Q4_12,01/10/2012,31/12/2012,0.661
08/01/2009,Q1_13,01/01/2013,31/03/2013,0.739
08/01/2009,Q2_13,01/04/2013,30/06/2013,0.602
08/01/2009,Q3_13,01/07/2013,30/09/2013,0.579
08/01/2009,Q4_13,01/10/2013,31/12/2013,0.667
08/01/2009,Q1_14,01/01/2014,31/03/2014,0.745
08/01/2009,Q2_14,01/04/2014,30/06/2014,0.609
09/01/2009,Q2_09,01/04/2009,30/06/2009,0.468
09/01/2009,Q3_09,01/07/2009,30/09/2009,0.45
09/01/2009,Q4_09,01/10/2009,31/12/2009,0.57
09/01/2009,Q1_10,01/01/2010,31/03/2010,0.64
09/01/2009,Q2_10,01/04/2010,30/06/2010,0.5265
